Date,Msquid_N,Herring,Anch,Sard,Year.of.Observation,Month.of.Observation
1/1/03,0.554979,0.547059,0.208543,0.393889,2003,JAN
2/1/03,0.554979,0.547059,0.208543,0.393889,2003,FEB
3/1/03,0.554979,0.547059,0.208543,0.393889,2003,MAR
4/1/03,0.554979,0.547059,0.208543,0.393889,2003,APR
5/1/03,0.554979,0.547059,0.208543,0.393889,2003,MAY
6/1/03,0.554979,0.547059,0.208543,0.393889,2003,JUN
7/1/03,0.554979,0.547059,0.208543,0.393889,2003,JUL
8/1/03,0.554979,0.547059,0.208543,0.393889,2003,AUG
9/1/03,0.554979,0.547059,0.208543,0.393889,2003,SEP
10/1/03,0.554979,0.547059,0.208543,0.393889,2003,OCT
11/1/03,0.554979,0.547059,0.208543,0.393889,2003,NOV
1/1/04,0.306804,0.12362,1.19523,1.42007,2004,JAN
2/1/04,0.306804,0.12362,1.19523,1.42007,2004,FEB
3/1/04,0.306804,0.12362,1.19523,1.42007,2004,MAR
4/1/04,0.306804,0.12362,1.19523,1.42007,2004,APR
5/1/04,0.306804,0.12362,1.19523,1.42007,2004,MAY
6/1/04,0.306804,0.12362,1.19523,1.42007,2004,JUN
7/1/04,0.306804,0.12362,1.19523,1.42007,2004,JUL
8/1/04,0.306804,0.12362,1.19523,1.42007,2004,AUG
9/1/04,0.306804,0.12362,1.19523,1.42007,2004,SEP
10/1/04,0.306804,0.12362,1.19523,1.42007,2004,OCT
11/1/04,0.306804,0.12362,1.19523,1.42007,2004,NOV
12/1/04,0.306804,0.12362,1.19523,1.42007,2004,DEC
1/1/05,0.124197,0.0738636,0.893062,0.237365,2005,JAN
2/1/05,0.124197,0.0738636,0.893062,0.237365,2005,FEB
3/1/05,0.124197,0.0738636,0.893062,0.237365,2005,MAR
4/1/05,0.124197,0.0738636,0.893062,0.237365,2005,APR
5/1/05,0.124197,0.0738636,0.893062,0.237365,2005,MAY
6/1/05,0.124197,0.0738636,0.893062,0.237365,2005,JUN
7/1/05,0.124197,0.0738636,0.893062,0.237365,2005,JUL
8/1/05,0.124197,0.0738636,0.893062,0.237365,2005,AUG
9/1/05,0.124197,0.0738636,0.893062,0.237365,2005,SEP
10/1/05,0.124197,0.0738636,0.893062,0.237365,2005,OCT
11/1/05,0.124197,0.0738636,0.893062,0.237365,2005,NOV
12/1/05,0.124197,0.0738636,0.893062,0.237365,2005,DEC
1/1/06,0.309274,0.0235695,0.124759,0.208015,2006,JAN
2/1/06,0.309274,0.0235695,0.124759,0.208015,2006,FEB
3/1/06,0.309274,0.0235695,0.124759,0.208015,2006,MAR
4/1/06,0.309274,0.0235695,0.124759,0.208015,2006,APR
5/1/06,0.309274,0.0235695,0.124759,0.208015,2006,MAY
6/1/06,0.309274,0.0235695,0.124759,0.208015,2006,JUN
7/1/06,0.309274,0.0235695,0.124759,0.208015,2006,JUL
8/1/06,0.309274,0.0235695,0.124759,0.208015,2006,AUG
9/1/06,0.309274,0.0235695,0.124759,0.208015,2006,SEP
10/1/06,0.309274,0.0235695,0.124759,0.208015,2006,OCT
11/1/06,0.309274,0.0235695,0.124759,0.208015,2006,NOV
12/1/06,0.309274,0.0235695,0.124759,0.208015,2006,DEC
1/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,JAN
2/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,FEB
3/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,MAR
4/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,APR
5/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,MAY
6/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,JUN
7/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,JUL
8/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,AUG
9/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,SEP
10/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,OCT
11/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,NOV
12/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,DEC
1/1/08,0.0419517,0.200486,0.126399,0.057719,2008,JAN
2/1/08,0.0419517,0.200486,0.126399,0.057719,2008,FEB
3/1/08,0.0419517,0.200486,0.126399,0.057719,2008,MAR
4/1/08,0.0419517,0.200486,0.126399,0.057719,2008,APR
5/1/08,0.0419517,0.200486,0.126399,0.057719,2008,MAY
6/1/08,0.0419517,0.200486,0.126399,0.057719,2008,JUN
7/1/08,0.0419517,0.200486,0.126399,0.057719,2008,JUL
8/1/08,0.0419517,0.200486,0.126399,0.057719,2008,AUG
9/1/08,0.0419517,0.200486,0.126399,0.057719,2008,SEP
10/1/08,0.0419517,0.200486,0.126399,0.057719,2008,OCT
11/1/08,0.0419517,0.200486,0.126399,0.057719,2008,NOV
12/1/08,0.0419517,0.200486,0.126399,0.057719,2008,DEC
1/1/09,0.00938998,0.138635,0.329128,0.287237,2009,JAN
2/1/09,0.00938998,0.138635,0.329128,0.287237,2009,FEB
3/1/09,0.00938998,0.138635,0.329128,0.287237,2009,MAR
4/1/09,0.00938998,0.138635,0.329128,0.287237,2009,APR
5/1/09,0.00938998,0.138635,0.329128,0.287237,2009,MAY
6/1/09,0.00938998,0.138635,0.329128,0.287237,2009,JUN
7/1/09,0.00938998,0.138635,0.329128,0.287237,2009,JUL
8/1/09,0.00938998,0.138635,0.329128,0.287237,2009,AUG
9/1/09,0.00938998,0.138635,0.329128,0.287237,2009,SEP
10/1/09,0.00938998,0.138635,0.329128,0.287237,2009,OCT
11/1/09,0.00938998,0.138635,0.329128,0.287237,2009,NOV
12/1/09,0.00938998,0.138635,0.329128,0.287237,2009,DEC
1/1/10,0.133465,0.115225,0.328019,0.0955842,2010,JAN
2/1/10,0.133465,0.115225,0.328019,0.0955842,2010,FEB
3/1/10,0.133465,0.115225,0.328019,0.0955842,2010,MAR
4/1/10,0.133465,0.115225,0.328019,0.0955842,2010,APR
5/1/10,0.133465,0.115225,0.328019,0.0955842,2010,MAY
6/1/10,0.133465,0.115225,0.328019,0.0955842,2010,JUN
7/1/10,0.133465,0.115225,0.328019,0.0955842,2010,JUL
8/1/10,0.133465,0.115225,0.328019,0.0955842,2010,AUG
9/1/10,0.133465,0.115225,0.328019,0.0955842,2010,SEP
10/1/10,0.133465,0.115225,0.328019,0.0955842,2010,OCT
11/1/10,0.133465,0.115225,0.328019,0.0955842,2010,NOV
1/1/11,0.234891,0.0312171,0.194404,0.202989,2011,JAN
2/1/11,0.234891,0.0312171,0.194404,0.202989,2011,FEB
3/1/11,0.234891,0.0312171,0.194404,0.202989,2011,MAR
4/1/11,0.234891,0.0312171,0.194404,0.202989,2011,APR
5/1/11,0.234891,0.0312171,0.194404,0.202989,2011,MAY
6/1/11,0.234891,0.0312171,0.194404,0.202989,2011,JUN
7/1/11,0.234891,0.0312171,0.194404,0.202989,2011,JUL
8/1/11,0.234891,0.0312171,0.194404,0.202989,2011,AUG
9/1/11,0.234891,0.0312171,0.194404,0.202989,2011,SEP
10/1/11,0.234891,0.0312171,0.194404,0.202989,2011,OCT
11/1/11,0.234891,0.0312171,0.194404,0.202989,2011,NOV
12/1/11,0.234891,0.0312171,0.194404,0.202989,2011,DEC
1/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,JAN
2/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,FEB
3/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,MAR
4/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,APR
5/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,MAY
6/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,JUN
7/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,JUL
8/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,AUG
9/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,SEP
10/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,OCT
11/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,NOV
12/1/12,0.263308,0.0227416,0.150633,0.0521102,2012,DEC
1/1/13,0.168133,0.156574,0.119698,0.0544134,2013,JAN
2/1/13,0.168133,0.156574,0.119698,0.0544134,2013,FEB
3/1/13,0.168133,0.156574,0.119698,0.0544134,2013,MAR
4/1/13,0.168133,0.156574,0.119698,0.0544134,2013,APR
5/1/13,0.168133,0.156574,0.119698,0.0544134,2013,MAY
6/1/13,0.168133,0.156574,0.119698,0.0544134,2013,JUN
7/1/13,0.168133,0.156574,0.119698,0.0544134,2013,JUL
8/1/13,0.168133,0.156574,0.119698,0.0544134,2013,AUG
9/1/13,0.168133,0.156574,0.119698,0.0544134,2013,SEP
10/1/13,0.168133,0.156574,0.119698,0.0544134,2013,OCT
11/1/13,0.168133,0.156574,0.119698,0.0544134,2013,NOV
12/1/13,0.168133,0.156574,0.119698,0.0544134,2013,DEC
1/1/14,0.608195,0.359861,0.059999,0.00933975,2014,JAN
2/1/14,0.608195,0.359861,0.059999,0.00933975,2014,FEB
3/1/14,0.608195,0.359861,0.059999,0.00933975,2014,MAR
4/1/14,0.608195,0.359861,0.059999,0.00933975,2014,APR
5/1/14,0.608195,0.359861,0.059999,0.00933975,2014,MAY
6/1/14,0.608195,0.359861,0.059999,0.00933975,2014,JUN
7/1/14,0.608195,0.359861,0.059999,0.00933975,2014,JUL
8/1/14,0.608195,0.359861,0.059999,0.00933975,2014,AUG
9/1/14,0.608195,0.359861,0.059999,0.00933975,2014,SEP
10/1/14,0.608195,0.359861,0.059999,0.00933975,2014,OCT
11/1/14,0.608195,0.359861,0.059999,0.00933975,2014,NOV
12/1/14,0.608195,0.359861,0.059999,0.00933975,2014,DEC
1/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,JAN
2/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,FEB
3/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,MAR
4/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,APR
5/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,MAY
6/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,JUN
7/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,JUL
8/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,AUG
9/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,SEP
10/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,OCT
11/1/15,0.544955,0.0921354,0.0154068,0.00302598,2015,NOV
1/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,JAN
2/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,FEB
3/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,MAR
4/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,APR
5/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,MAY
6/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,JUN
7/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,JUL
8/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,AUG
9/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,SEP
10/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,OCT
11/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,NOV
12/1/16,0.450263,0.0479869,0.0265565,0.0138274,2016,DEC
1/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,JAN
2/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,FEB
3/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,MAR
4/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,APR
5/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,MAY
6/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,JUN
7/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,JUL
8/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,AUG
9/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,SEP
10/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,OCT
11/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,NOV
12/1/17,0.357637,0.0151836,0.0400024,0.00226169,2017,DEC