sci_name,tot,OR,WA,Male,Female,Unid,HI
Balaenoptera acutorostrata,6,3,3,2,4,NA,2
Balaenoptera borealis,1,0,1,1,NA,NA,1
Balaenoptera edeni,2,0,2,2,NA,NA,2
Balaenoptera musculus,1,1,0,1,NA,NA,NA
Balaenoptera physalus,13,2,11,7,2,4,10
Berardius bairdii,5,2,3,1,3,1,2
Delphinus capensis,7,1,6,5,2,NA,1
Delphinus delphis,16,12,4,6,9,1,1
Eschrichtius robustus,172,59,113,65,55,52,42
Globicephala macrorhynchus,2,1,1,NA,1,1,NA
Grampus griseus,8,6,2,6,2,NA,1
Kogia breviceps,5,3,2,2,2,1,NA
Kogia NA,1,0,1,NA,NA,1,NA
Lagenorhynchus obliquidens,33,24,9,11,15,7,6
Lissodelphis borealis,10,7,3,5,4,1,1
Megaptera novaeangliae,43,18,25,17,14,12,14
Mesoplodon carlhubbsi,1,0,1,NA,1,NA,NA
Mesoplodon densirostris,2,0,2,1,1,NA,1
Mesoplodon NA,3,1,2,1,NA,2,1
Mesoplodon stejnegeri,6,3,3,1,4,1,1
NA NA,75,41,34,4,5,65,5
Orcinus orca,19,3,16,6,9,4,2
phocoena phocoena,1,0,1,NA,NA,1,NA
Phocoena phocoena,1051,301,750,387,334,330,188
Phocoenoides dalli,99,17,82,39,16,44,7
Physeter macrocephalus,23,14,9,6,8,9,6
Stenella attenuata,1,1,0,NA,1,NA,NA
Stenella coeruleoalba,55,44,11,31,17,7,10
Tursiops truncatus,5,1,4,1,3,1,NA
unidentified unidentified,4,0,4,NA,NA,4,NA
unknown unknown,1,0,1,NA,NA,1,NA
Ziphius cavirostris,8,8,0,7,NA,1,1
tot,1679,573,1106,615,512,551,305